Lincoln Suites,3 Khiang Guan Avenue,Available from 19 Apr,2500,,,463 sqft,S$ 5.40 psf,Condominium,Fully Furnished,2014,10m
570 Choa Chu Kang Street 52,570 Choa Chu Kang Street 52,Available from 30 Mar,850,,,721 sqft,S$ 1.18 psf,HDB Apartment,Partially Furnished,2014,10m
372 Clementi Avenue 4,372 Clementi Avenue 4,Ready to move,2500,3,2,1313 sqft,S$ 1.90 psf,HDB Apartment,Fully Furnished,,11m
325 Clementi Avenue 5,325 Clementi Avenue 5,Ready to move,2300,2,2,721 sqft,S$ 3.19 psf,HDB Apartment,,,11m
Skysuites @ Anson,8 Enggor Street,Ready to move,3800,2,2,699 sqft,S$ 5.44 psf,Condominium,Fully Furnished,2015,11m
Meier Suites,10 Margate Road,Ready to move,7000,4,4,2207 sqft,S$ 3.17 psf,Apartment,Partially Furnished,2011,11m
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,6500,3,3,1410 sqft,S$ 4.61 psf,Condominium,Partially Furnished,2014,11m
Domain 21,21 Delta Road,Ready to move,3950,2,2,957 sqft,S$ 4.13 psf,Condominium,Partially Furnished,2007,11m
21 Anderson Royal Oak Residence,21 Anderson Road,Ready to move,9488,4,4,2217 sqft,S$ 4.28 psf,Condominium,,2010,11m
21 Anderson Royal Oak Residence,21 Anderson Road,Ready to move,8500,3,3,1959 sqft,S$ 4.34 psf,Condominium,Partially Furnished,2010,11m
Fernhill Crescent,Fernhill crescent,Ready to move,7000,5,4,1000 sqft 3450 sqft (land),S$ 2.03 psf,Semi-Detached House,Partially Furnished,,11m
The Colonnade,82 Grange Road,Ready to move,14000,3,3,3617 sqft,S$ 3.87 psf,Condominium,Partially Furnished,1986,11m
The Interweave,21 Kim Keat Road,Ready to move,1800,,,377 sqft,S$ 4.77 psf,Condominium,Fully Furnished,2015,11m
639 Bedok Reservoir Road,639 Bedok Reservoir Road,Ready to move,650,,,150 sqft,S$ 4.33 psf,HDB Apartment,Fully Furnished,,11m
Waterbank @ Dakota,25 Dakota Crescent,Ready to move,6111,4,4,1600 sqft,S$ 3.82 psf,Condominium,Partially Furnished,2013,12m
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,3000,1,1,603 sqft,S$ 4.98 psf,Condominium,Fully Furnished,2014,12m
The Brownstone,,Ready to move,1100,,,1141 sqft,S$ 0.96 psf,Executive Condominium,Fully Furnished,2022,12m
The Brownstone,,Ready to move,800,,,1141 sqft,S$ 0.70 psf,Executive Condominium,Fully Furnished,2022,12m
The Madeira,50 Bukit Batok Street 31,Available from 1 Apr,2800,3,3,1301 sqft,S$ 2.15 psf,Condominium,Fully Furnished,2003,12m
Nouvel 18,16 Anderson Road,Ready to move,7900,2,2,1335 sqft,S$ 5.92 psf,Condominium,Partially Furnished,2016,12m
Parc Oasis,35 Jurong East Avenue 1,Available from 9 Apr,3000,3,3,1227 sqft,S$ 2.44 psf,Condominium,Fully Furnished,1995,14m
Marina Bay Residences,18 Marina Boulevard,Ready to move,8499,3,3,1636 sqft,S$ 5.19 psf,Condominium,Fully Furnished,2010,14m
764 Jurong West Street 74,764 Jurong West Street 74,Available from 14 Mar,1800,2,2,1119 sqft,S$ 1.61 psf,HDB Apartment,Fully Furnished,,15m
The Vision,81 West Coast Crescent,Available from 22 Apr,4000,3,2,1302 sqft,S$ 3.07 psf,Condominium,Fully Furnished,2015,15m
Sommerville Loft,7 Sommerville Walk,Ready to move,3900,3,2,2056 sqft,S$ 1.90 psf,Condominium,Partially Furnished,2003,15m
51 Strathmore Avenue,51 Strathmore Avenue,Ready to move,2888,3,2,1183 sqft,S$ 2.44 psf,HDB Apartment,Fully Furnished,,15m
51 Lengkok Bahru,51 Lengkok Bahru,Ready to move,2888,3,2,1313 sqft,S$ 2.20 psf,HDB Apartment,Fully Furnished,,15m
Robin Residences,,Available from 15 Mar,2800,1,1,409 sqft,S$ 6.85 psf,Condominium,Fully Furnished,2016,16m
Lake Life Ec,4 Tao Ching Road,Ready to move,850,,,150 sqft,S$ 5.67 psf,Executive Condominium,Fully Furnished,2017,16m
Lake Life Ec,4 Tao Ching Road,Ready to move,850,,,150 sqft,S$ 5.67 psf,Executive Condominium,Fully Furnished,2017,17m
Parvis,18 Holland Hill,Ready to move,8000,3,3,1701 sqft,S$ 4.70 psf,Condominium,Partially Furnished,2012,17m
Hoover Park,Yuk Tong Avenue,Available from 15 Apr,7800,7,6,3900 sqft 2500 sqft (land),S$ 3.12 psf,Terraced House,Partially Furnished,1970,17m
Miltonia Residences,548 Miltonia Close,Ready to move,2300,2,2,840 sqft,S$ 2.74 psf,Condominium,Partially Furnished,2015,17m
282A Sengkang East Avenue,282A Sengkang East Avenue,Ready to move,1000,1,2,200 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,18m
Duo Residences,1 Fraser Street,Ready to move,4000,1,1,732 sqft,S$ 5.46 psf,Apartment,Partially Furnished,2017,18m
38 I Suites,38 Ipoh Lane,Ready to move,2688,1,1,1044 sqft,S$ 2.57 psf,Condominium,Fully Furnished,2014,18m
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,3000,1,1,603 sqft,S$ 4.98 psf,Condominium,Fully Furnished,2014,18m
The Bencoolen,180 Bencoolen Street,,3400,2,2,885 sqft,S$ 3.84 psf,Apartment,Fully Furnished,1998,18m
The Poiz Residences,12 Meyappa Chettiar Road,Ready to move,2200,1,1,420 sqft,S$ 5.24 psf,Apartment,Fully Furnished,2020,18m
Pandan Valley,4 Pandan Valley,Ready to move,3900,3,3,1668 sqft,S$ 2.34 psf,Condominium,Partially Furnished,1979,18m
The Poiz Residences,12 Meyappa Chettiar Road,Ready to move,2400,,,420 sqft,S$ 5.71 psf,Condominium,Fully Furnished,2020,18m
Sherwood Condo,169 Jalan Jurong Kechil,Ready to move,2300,2,2,904 sqft,S$ 2.54 psf,Condominium,Fully Furnished,1998,19m
530 Choa Chu Kang Street 51,530 Choa Chu Kang Street 51,Ready to move,2200,4,2,1528 sqft,S$ 1.44 psf,HDB Apartment,Fully Furnished,,19m
30 Jalan Klinik,30 Jalan Klinik,Ready to move,600,,,90 sqft,S$ 6.67 psf,HDB Apartment,Fully Furnished,,19m
Seraya Breeze,3 Seraya Road,Ready to move,2800,3,2,1055 sqft,S$ 2.65 psf,Apartment,,2001,19m
642 Punggol Drive,642 Punggol Drive,Ready to move,2000,3,2,1194 sqft,S$ 1.68 psf,HDB Apartment,Fully Furnished,,20m
Eastside Loft,150 Tanjong Katong Road,Ready to move,2400,1,1,580 sqft,S$ 4.14 psf,Condominium,Partially Furnished,2003,20m
807 Yishun Ring Road,807 Yishun Ring Road,Ready to move,1600,2,2,680 sqft,S$ 2.35 psf,HDB Apartment,Fully Furnished,,20m
Astoria Park,28 Lorong Mydin,Ready to move,4000,3,3,1313 sqft,S$ 3.05 psf,Condominium,Partially Furnished,1995,20m
Ardmore Residence,7 Ardmore Park,Ready to move,18500,4,5,3186 sqft,S$ 5.81 psf,Condominium,Partially Furnished,2013,20m
Eight Riversuites,2 Whampoa East,Ready to move,2350,1,1,450 sqft,S$ 5.22 psf,Condominium,Partially Furnished,2016,20m
The Boutiq @ Killiney,145 Killiney Road,Ready to move,3200,1,1,561 sqft,S$ 5.70 psf,Condominium,Partially Furnished,2014,20m
ENG KONG GARDEN BUNGALOW for RENTAL ! !!,Eng kong Garden,Ready to move,8500,5,4,4000 sqft 7300 sqft (land),S$ 1.16 psf,Bungalow House,Partially Furnished,1997,20m
486 Admiralty Link,486 Admiralty Link,Available from 30 Mar,1750,3,2,1269 sqft,S$ 1.38 psf,HDB Apartment,Fully Furnished,,20m
The Ambrosia,106 Lorong N Telok Kurau,Ready to move,3500,3,3,1150 sqft,S$ 3.04 psf,Apartment,Partially Furnished,2011,20m
The Residences @ W Sentosa Cove,1 Ocean Way,,8300,3,3,1625 sqft,S$ 5.11 psf,Condominium,Partially Furnished,2012,20m
Zenith @ Zion,60 Zion Road,Ready to move,4000,2,2,1130 sqft,S$ 3.54 psf,Apartment,Partially Furnished,2011,21m
Tanglin View,150 Prince Charles Crescent,Available from 1 May,3800,3,3,1249 sqft,S$ 3.04 psf,Condominium,Partially Furnished,2002,21m
Le Merritt,64 Lorong M Telok Kurau,Ready to move,3000,3,2,990 sqft,S$ 3.03 psf,Apartment,Fully Furnished,2008,21m
The Residences @ W Sentosa Cove,1 Ocean Way,,8300,3,3,1625 sqft,S$ 5.11 psf,Condominium,Partially Furnished,2012,21m
Zenith @ Zion,60 Zion Road,Ready to move,4000,2,2,1130 sqft,S$ 3.54 psf,Apartment,Partially Furnished,2011,21m
Tanglin View,150 Prince Charles Crescent,Available from 1 May,3800,3,3,1249 sqft,S$ 3.04 psf,Condominium,Partially Furnished,2002,22m
Le Merritt,64 Lorong M Telok Kurau,Ready to move,3000,3,2,990 sqft,S$ 3.03 psf,Apartment,Fully Furnished,2008,22m
Echelon,9 Alexandra View,Ready to move,4400,2,2,732 sqft,S$ 6.01 psf,Condominium,Fully Furnished,2016,22m
Visioncrest,37 Oxley Rise,Ready to move,3500,1,1,700 sqft,S$ 5.00 psf,Apartment,Fully Furnished,2007,22m
GROUND floor 3BR @ East Coast / Marine Parade Rd,East Coast Road,Ready to move,3777,3,3,1510 sqft,S$ 2.50 psf,Condominium,Partially Furnished,,22m
Tierra Vue,40 Saint Patrick's Road,Ready to move,4000,3,3,1220 sqft,S$ 3.28 psf,Condominium,Partially Furnished,2010,22m
117 Bedok North Road,117 Bedok North Road,Ready to move,2400,3,2,1033 sqft,S$ 2.32 psf,HDB Apartment,Partially Furnished,,23m
135 Bedok Reservoir Road,135 Bedok Reservoir Road,Ready to move,900,,,200 sqft,S$ 4.50 psf,HDB Apartment,Partially Furnished,,23m
The Sea View,35 Amber Road,Ready to move,10500,4,6,2750 sqft,S$ 3.82 psf,Condominium,Partially Furnished,2008,23m
Trilight,9 Newton Road,Ready to move,9500,4,4,2336 sqft,S$ 4.07 psf,Condominium,Partially Furnished,2012,23m
Ardmore Residence,7 Ardmore Park,Ready to move,20000,4,4,3186 sqft,S$ 6.28 psf,Condominium,Partially Furnished,2013,23m
Duo Residences,1 Fraser Street,Ready to move,4200,,,420 sqft,S$ 10.00 psf,Apartment,Fully Furnished,2017,23m
Astor,51C Lengkong Empat,Ready to move,2550,2,2,861 sqft,S$ 2.96 psf,Apartment,Fully Furnished,2006,23m
2 STOREY WITH BASEMENT RENOVATED DETACH FOR RENT AT CHANCERY LANE  NEAR MRT,,Ready to move,9000,4,4,4300 sqft 4500 sqft (land),S$ 2.00 psf,Bungalow House,Unfurnished,,23m
SALLIM ROAD - 3 Storey Semi-D for Rental !,Sallim Road,Ready to move,4500,4,4,4000 sqft 4500 sqft (land),S$ 1.00 psf,Semi-Detached House,Partially Furnished,,23m
Fulcrum,33 Fort Road,Ready to move,5500,3,2,1200 sqft,S$ 4.58 psf,Condominium,Partially Furnished,2016,24m
13 Telok Blangah Crescent,13 Telok Blangah Crescent,Ready to move,1900,2,2,797 sqft,S$ 2.38 psf,HDB Apartment,,,24m
Telok Kurau Lodge,57 Telok Kurau Lorong H,Ready to move,3200,3,2,1230 sqft,S$ 2.60 psf,Apartment,Partially Furnished,1991,24m
Haig Court,152 Haig Road,Ready to move,4200,3,3,1450 sqft,S$ 2.90 psf,Condominium,,2004,24m
709 Clementi West Street 2,709 Clementi West Street 2,Ready to move,2500,3,2,980 sqft,S$ 2.55 psf,HDB Apartment,Fully Furnished,,24m
Metro Loft,5 Lorong 27 Geylang,Available from 10 Mar,2000,1,1,452 sqft,S$ 4.42 psf,Condominium,Fully Furnished,2015,24m
