Avon Park,1 Youngberg Terrace,Ready to move,3500,3,2,1280 sqft,S$ 2.73 psf,Condominium,Partially Furnished,1991,1h
Hillion Residences,8 Jelebu Road,Ready to move,2200,1,1,637 sqft,S$ 3.45 psf,Condominium,Partially Furnished,2018,1h
City Square Residences,10 Kitchener Link,Available from 27 Mar,4200,3,3,1216 sqft,S$ 3.45 psf,Condominium,Partially Furnished,2009,1h
Astoria Park,28 Lorong Mydin,Ready to move,3000,2,2,958 sqft,S$ 3.13 psf,Condominium,Fully Furnished,1995,1h
Parvis,18 Holland Hill,Ready to move,4900,2,2,990 sqft,S$ 4.95 psf,Condominium,Partially Furnished,2012,1h
804 Yishun Ring Road,804 Yishun Ring Road,Ready to move,700,,,200 sqft,S$ 3.50 psf,HDB Apartment,Fully Furnished,,1h
805 King George's Avenue,805 King George's Avenue,,1700,1,1,474 sqft,S$ 3.59 psf,HDB Apartment,Fully Furnished,,1h
Parc Vera,Hougang Street 32,Ready to move,2900,3,3,1141 sqft,S$ 2.54 psf,Condominium,Fully Furnished,2015,1h
Parvis,18 Holland Hill,Ready to move,6999,3,2,1701 sqft,S$ 4.11 psf,Condominium,Partially Furnished,2012,1h
Pasir Ris Beach Park,Pasir Ris Terrace,Ready to move,5300,5,4,3494 sqft 2400 sqft (land),S$ 2.21 psf,Terraced House,,1976,1h
Harbour Suites @ Kampong Bahru,522 KAMPONG BAHRU ROAD,Ready to move,2799,2,2,753 sqft,S$ 3.72 psf,Condominium,,2014,1h
Parvis,18 Holland Hill,Ready to move,8190,3,3,1701 sqft,S$ 4.81 psf,Condominium,Partially Furnished,2012,1h
Tiara,1 Kim Seng Walk,Ready to move,4799,3,3,1281 sqft,S$ 3.75 psf,Apartment,Fully Furnished,1995,1h
Delfi Orchard,,Ready to move,4150,2,2,1212 sqft,S$ 3.42 psf,Apartment,Partially Furnished,1985,1h
Fortune Park,109 Tampines Road,Ready to move,2850,3,3,1236 sqft,S$ 2.31 psf,Condominium,Fully Furnished,1996,1h
Jalan anggerek,54 jalan anggerek,Ready to move,1250,,,250 sqft 2200 sqft (land),S$ 0.57 psf,Terraced House,Fully Furnished,1998,1h
Elizabeth Heights,57 Cairnhill Road,Ready to move,6300,3,3,2528 sqft,S$ 2.49 psf,Condominium,Partially Furnished,1985,1h
Dover Parkview,30 Dover Rise,Ready to move,1600,,,200 sqft,S$ 8.00 psf,Condominium,Fully Furnished,1997,1h
Illuminaire On Devonshire,65 Devonshire Road,Ready to move,3300,2,1,635 sqft,S$ 5.20 psf,Apartment,Partially Furnished,2013,1h
City Gate,371 Beach Road,Ready to move,3600,2,1,560 sqft,S$ 6.43 psf,Apartment,Partially Furnished,2019,1h
Parvis,18 Holland Hill,Ready to move,9500,4,3,1991 sqft,S$ 4.77 psf,Condominium,Partially Furnished,2012,1h
Tiara,1 Kim Seng Walk,Ready to move,4799,3,3,1281 sqft,S$ 3.75 psf,Apartment,Fully Furnished,1995,1h
Delfi Orchard,,Ready to move,4150,2,2,1212 sqft,S$ 3.42 psf,Apartment,Partially Furnished,1985,1h
Fortune Park,109 Tampines Road,Ready to move,2850,3,3,1236 sqft,S$ 2.31 psf,Condominium,Fully Furnished,1996,1h
Jalan anggerek,54 jalan anggerek,Ready to move,1250,,,250 sqft 2200 sqft (land),S$ 0.57 psf,Terraced House,Fully Furnished,1998,1h
Elizabeth Heights,57 Cairnhill Road,Ready to move,6300,3,3,2528 sqft,S$ 2.49 psf,Condominium,Partially Furnished,1985,1h
Dover Parkview,30 Dover Rise,Ready to move,1600,,,200 sqft,S$ 8.00 psf,Condominium,Fully Furnished,1997,1h
Illuminaire On Devonshire,65 Devonshire Road,Ready to move,3300,2,1,635 sqft,S$ 5.20 psf,Apartment,Partially Furnished,2013,1h
City Gate,371 Beach Road,Ready to move,3600,2,1,560 sqft,S$ 6.43 psf,Apartment,Partially Furnished,2019,1h
Parvis,18 Holland Hill,Ready to move,9500,4,3,1991 sqft,S$ 4.77 psf,Condominium,Partially Furnished,2012,1h
My Manhattan,28 Simei Street 3,,6200,4,4,1312 sqft,S$ 4.73 psf,Condominium,,2014,1h
Coralis,530 Joo Chiat Road,Ready to move,3500,2,2,861 sqft,S$ 4.07 psf,Condominium,Fully Furnished,2014,1h
Avon Park,1 Youngberg Terrace,Ready to move,3400,3,3,1270 sqft,S$ 2.68 psf,Condominium,Fully Furnished,1991,1h
Principal Garden,93 95 9799 Prince Charles Crescent,Available from 20 Mar,4800,3,3,1076 sqft,S$ 4.46 psf,Condominium,Partially Furnished,2019,1h
The Gardens @ Bishan,1 Sin Min Walk,Ready to move,2300,2,2,838 sqft,S$ 2.74 psf,Condominium,,2004,1h
Newton Suites,60 Newton Road,Ready to move,3800,2,2,797 sqft,S$ 4.77 psf,Apartment,,2007,1h
8 @ Mount Sophia,10A Mount Sophia,Ready to move,4900,3,2,1378 sqft,S$ 3.56 psf,Condominium,Partially Furnished,2007,1h
Martin Edge,50 Martin Road,Ready to move,2500,1,2,580 sqft,S$ 4.31 psf,Apartment,Partially Furnished,2006,1h
Palazzetto,8C Tanjong Rhu Road,Available from 1 Apr,2500,2,2,818 sqft,S$ 3.06 psf,Apartment,Fully Furnished,2003,1h
Emerald Park,2 Indus Road,Ready to move,2949,2,2,990 sqft,S$ 2.98 psf,Condominium,Fully Furnished,1993,1h
One Shenton,1 Shenton Way,Ready to move,6700,3,2,1582 sqft,S$ 4.24 psf,Apartment,Fully Furnished,2011,1h
Corner 2 Storey House Filleth with Loving Coziness and Bonding( Jalan Jambu Ayer),Jalan Jambu Ayer,Ready to move,5800,3,2,2500 sqft 3500 sqft (land),S$ 1.66 psf,Semi-Detached House,Partially Furnished,,1h
Oxley Edge,308 River Valley Road,Ready to move,2500,2,1,398 sqft,S$ 6.28 psf,Apartment,Fully Furnished,2016,1h
Skies Miltonia,Miltonia Close,Available from 5 Apr,1800,1,1,527 sqft,S$ 3.42 psf,Condominium,Partially Furnished,2016,1h
406 Sembawang Drive,406 Sembawang Drive,Ready to move,1950,3,2,926 sqft,S$ 2.11 psf,HDB Apartment,Fully Furnished,,1h
Corner 2 Storey House Filleth with Loving Coziness and Bonding( Jalan Jambu Ayer),Jalan Jambu Ayer,Ready to move,5800,3,2,2500 sqft 3500 sqft (land),S$ 1.66 psf,Semi-Detached House,Partially Furnished,,1h
Coralis,530 Joo Chiat Road,Ready to move,2500,1,1,495 sqft,S$ 5.05 psf,Condominium,,2014,1h
Lushy Greenery Neat Black and White Style Bungalow 2 Storey off Jalan Jurong Kechil,Eng Kong Garden,Ready to move,8500,5,4,4000 sqft 7400 sqft (land),S$ 1.15 psf,Bungalow House,Partially Furnished,,1h
House Of Greenery 2 Storey Semi D  Namly Drive off Sixth Avenue,,Ready to move,7500,3,3,3200 sqft 3800 sqft (land),S$ 1.97 psf,Semi-Detached House,Partially Furnished,,1h
Situated 10 mins Near German European School/Dulwich College Bungalow off Jalan Jurong Kechil,,Ready to move,5800,4,2,3500 sqft 5000 sqft (land),S$ 1.16 psf,Bungalow House,Partially Furnished,,1h
Valley Park,483 River Valley Road,Ready to move,4300,3,3,1313 sqft,S$ 3.27 psf,Condominium,Partially Furnished,1997,1h
Martin Edge,50 Martin Road,Ready to move,2500,1,2,580 sqft,S$ 4.31 psf,Apartment,Partially Furnished,2006,1h
Palazzetto,8C Tanjong Rhu Road,Available from 1 Apr,2500,2,2,818 sqft,S$ 3.06 psf,Apartment,Fully Furnished,2003,1h
Emerald Park,2 Indus Road,Ready to move,2949,2,2,990 sqft,S$ 2.98 psf,Condominium,Fully Furnished,1993,1h
One Shenton,1 Shenton Way,Ready to move,6700,3,2,1582 sqft,S$ 4.24 psf,Apartment,Fully Furnished,2011,1h
Corner 2 Storey House Filleth with Loving Coziness and Bonding( Jalan Jambu Ayer),Jalan Jambu Ayer,Ready to move,5800,3,2,2500 sqft 3500 sqft (land),S$ 1.66 psf,Semi-Detached House,Partially Furnished,,1h
Oxley Edge,308 River Valley Road,Ready to move,2500,2,1,398 sqft,S$ 6.28 psf,Apartment,Fully Furnished,2016,1h
Skies Miltonia,Miltonia Close,Available from 5 Apr,1800,1,1,527 sqft,S$ 3.42 psf,Condominium,Partially Furnished,2016,1h
406 Sembawang Drive,406 Sembawang Drive,Ready to move,1950,3,2,926 sqft,S$ 2.11 psf,HDB Apartment,Fully Furnished,,1h
Corner 2 Storey House Filleth with Loving Coziness and Bonding( Jalan Jambu Ayer),Jalan Jambu Ayer,Ready to move,5800,3,2,2500 sqft 3500 sqft (land),S$ 1.66 psf,Semi-Detached House,Partially Furnished,,1h
Coralis,530 Joo Chiat Road,Ready to move,2500,1,1,495 sqft,S$ 5.05 psf,Condominium,,2014,1h
Lushy Greenery Neat Black and White Style Bungalow 2 Storey off Jalan Jurong Kechil,Eng Kong Garden,Ready to move,8500,5,4,4000 sqft 7400 sqft (land),S$ 1.15 psf,Bungalow House,Partially Furnished,,1h
House Of Greenery 2 Storey Semi D  Namly Drive off Sixth Avenue,,Ready to move,7500,3,3,3200 sqft 3800 sqft (land),S$ 1.97 psf,Semi-Detached House,Partially Furnished,,1h
Situated 10 mins Near German European School/Dulwich College Bungalow off Jalan Jurong Kechil,,Ready to move,5800,4,2,3500 sqft 5000 sqft (land),S$ 1.16 psf,Bungalow House,Partially Furnished,,1h
Valley Park,483 River Valley Road,Ready to move,4300,3,3,1313 sqft,S$ 3.27 psf,Condominium,Partially Furnished,1997,1h
Lorong Pisang Batu,Lorong Pisang Batu,Ready to move,7800,6,7,2500 sqft 3900 sqft (land),S$ 2.00 psf,Semi-Detached House,Fully Furnished,,1h
Botannia,27 West Coast Park,Ready to move,4300,4,3,1561 sqft,S$ 2.75 psf,Condominium,Fully Furnished,2009,1h
Coralis,530 Joo Chiat Road,Ready to move,3550,2,1,904 sqft,S$ 3.93 psf,Condominium,Fully Furnished,2014,1h
The Metropolitan Condo,8 Alexandra View,Available from 20 Mar,8500,4,5,2562 sqft,S$ 3.32 psf,Condominium,,2009,1h
Ville Royale,310 River Valley Road,Ready to move,4600,3,3,1389 sqft,S$ 3.31 psf,Apartment,Partially Furnished,1993,1h
Parvis,18 Holland Hill,Ready to move,8000,3,3,1701 sqft,S$ 4.70 psf,Condominium,Partially Furnished,2012,1h
Seasons Park,491 Yio Chu Kang Road,Ready to move,5200,4,3,2884 sqft,S$ 1.80 psf,Condominium,Partially Furnished,1997,1h
Visioncrest,33 Oxley Rise,Ready to move,3500,1,1,689 sqft,S$ 5.08 psf,Apartment,Fully Furnished,2007,1h
Oleander Towers,911 Lorong 1 Toa Payoh,Ready to move,3500,3,3,1151 sqft,S$ 3.04 psf,Apartment,Fully Furnished,1998,1h
Hillcrest Arcadia,251 Arcadia Road,Ready to move,2200,1,1,700 sqft,S$ 3.14 psf,Condominium,Fully Furnished,1980,1h
Parvis,18 Holland Hill,Ready to move,4400,2,2,990 sqft,S$ 4.44 psf,Condominium,Partially Furnished,2012,1h
Westwood Park,Westwood Crescent,Available from 15 May,3800,4,4,2500 sqft 1615 sqft (land),S$ 2.35 psf,Terraced House,Unfurnished,1999,1h
Skyline Residences,610 Telok Blangah Road,Available from 18 Mar,3000,1,1,484 sqft,S$ 6.20 psf,Condominium,,2015,1h
The Foresta @ Mount Faber,102 Wishart Road,Available from 17 Mar,4000,2,2,1033 sqft,S$ 3.87 psf,Condominium,,2015,1h
236 Bishan Street 22,236 Bishan Street 22,Ready to move,750,1,1,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,1h
858 Tampines Avenue 5,858 Tampines Avenue 5,Ready to move,2700,3,3,1571 sqft,S$ 1.72 psf,HDB Apartment,Fully Furnished,,1h
858 Tampines Avenue 5,858 Tampines Avenue 5,Ready to move,2700,3,3,1571 sqft,S$ 1.72 psf,HDB Apartment,Fully Furnished,,1h
Tre Residences,Geylang East Avenue 1,Ready to move,2300,1,1,420 sqft,S$ 5.48 psf,Condominium,,2018,1h
Marina Bay Residences,18 Marina Boulevard,Ready to move,4999,1,1,743 sqft,S$ 6.73 psf,Condominium,Fully Furnished,2010,1h
692A Choa Chu Kang Crescent,692A Choa Chu Kang Crescent,Available from 1 Apr,1900,3,2,1097 sqft,S$ 1.73 psf,HDB Apartment,Fully Furnished,,1h
St. Regis Residences Singapore,31 Tanglin Road,Ready to move,7200,3,3,1507 sqft,S$ 4.78 psf,Condominium,Fully Furnished,2008,1h
Landed Cashew Crescent for rent,100 cashew crescent,Ready to move,4200,3,3,2300 sqft 2000 sqft (land),S$ 2.10 psf,Terraced House,Partially Furnished,,1h
Ascent @ 456,456 Balestier Road,,2999,3,2,689 sqft,S$ 4.35 psf,Apartment,Fully Furnished,2017,1h
Skysuites @ Anson,8 Enggor Street,Ready to move,2800,,,366 sqft,S$ 7.65 psf,Condominium,Partially Furnished,2015,1h
Thomson Impressions,3 Lorong Puntong,Ready to move,3800,3,3,1055 sqft,S$ 3.60 psf,Condominium,Partially Furnished,2019,1h
112 Bishan Street 12,112 Bishan Street 12,Ready to move,2400,3,2,1105 sqft,S$ 2.17 psf,HDB Apartment,Fully Furnished,,1h
332 Clementi Avenue 2,332 Clementi Avenue 2,Ready to move,2500,3,2,969 sqft,S$ 2.58 psf,HDB Apartment,Fully Furnished,,1h
75C Redhill Road,75C Redhill Road,Ready to move,2800,3,2,1076 sqft,S$ 2.60 psf,HDB Apartment,Fully Furnished,,1h
24 Ashwood Grove,24 Ashwood Grove,Ready to move,6000,4,5,3200 sqft 1937 sqft (land),S$ 3.10 psf,Terraced House,Partially Furnished,,1h
Jardin,966 Dunearn Road,Ready to move,3600,2,2,958 sqft,S$ 3.76 psf,Condominium,Fully Furnished,2013,1h
601 Clementi West Street 1,601 Clementi West Street 1,Ready to move,650,,,150 sqft,S$ 4.33 psf,HDB Apartment,Fully Furnished,,1h
Cliveden @ Grange,100 Grange Road,Ready to move,18000,4,4,4392 sqft,S$ 4.10 psf,Condominium,Partially Furnished,2011,1h
Beechwood Bungalow,39 Beechwood GROVE,Ready to move,10800,6,7,6000 sqft 6000 sqft (land),S$ 1.80 psf,Bungalow House,Partially Furnished,,1h
The Arc at Draycott,5 Draycott Drive,Ready to move,5000,2,2,1130 sqft,S$ 4.42 psf,Apartment,Partially Furnished,2010,1h
42 Woodgrove Avenue,Woodgrove Avenue,Ready to move,9000,6,5,4000 sqft 2400 sqft (land),S$ 3.75 psf,Corner Terrace,Partially Furnished,,1h
Pinewood Grove Bungalow,Pinewood Grove,Ready to move,11000,6,6,6000 sqft 5800 sqft (land),S$ 1.90 psf,Bungalow House,Partially Furnished,2005,1h
Woodgrove Avenue Terrace,Woodgrove Avenue,Ready to move,7800,5,5,4800 sqft 1800 sqft (land),S$ 4.33 psf,Terraced House,Partially Furnished,,1h
Reflections @ Keppel Bay,23 Keppel Bay View,Ready to move,4200,2,2,1012 sqft,S$ 4.15 psf,Condominium,Fully Furnished,2013,1h
Reflections @ Keppel Bay,23 Keppel Bay View,Ready to move,4200,2,2,880 sqft,S$ 4.77 psf,Condominium,Partially Furnished,2013,1h
Botannia,27 West Coast Park,Ready to move,4500,3,4,1561 sqft,S$ 2.88 psf,Condominium,Partially Furnished,2009,1h
Caribbean @ Keppel Bay,12 Keppel Bay Drive,,5200,3,3,1281 sqft,S$ 4.06 psf,Condominium,Partially Furnished,2004,1h
Crescendo Park,6 Jalan Tua Kong,Ready to move,3200,3,2,1475 sqft,S$ 2.17 psf,Condominium,Unfurnished,1996,1h
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,4200,2,2,797 sqft,S$ 5.27 psf,Condominium,Partially Furnished,2014,1h
40 Telok Blangah Rise,40 Telok Blangah Rise,Ready to move,2300,3,2,883 sqft,S$ 2.60 psf,HDB Apartment,Fully Furnished,,1h
Marina Bay Suites,3 Central Boulevard,Ready to move,6300,3,2,1593 sqft,S$ 3.95 psf,Apartment,Fully Furnished,2014,1h
Rangoon 88,88 Rangoon Road,Ready to move,1850,1,1,420 sqft,S$ 4.40 psf,Condominium,Partially Furnished,2015,1h
Reflections @ Keppel Bay,23 Keppel Bay View,Ready to move,4200,2,2,1012 sqft,S$ 4.15 psf,Condominium,Fully Furnished,2013,1h
Reflections @ Keppel Bay,23 Keppel Bay View,Ready to move,4200,2,2,880 sqft,S$ 4.77 psf,Condominium,Partially Furnished,2013,1h
Botannia,27 West Coast Park,Ready to move,4500,3,4,1561 sqft,S$ 2.88 psf,Condominium,Partially Furnished,2009,1h
Caribbean @ Keppel Bay,12 Keppel Bay Drive,,5200,3,3,1281 sqft,S$ 4.06 psf,Condominium,Partially Furnished,2004,1h
Crescendo Park,6 Jalan Tua Kong,Ready to move,3200,3,2,1475 sqft,S$ 2.17 psf,Condominium,Unfurnished,1996,1h
Spottiswoode Residences,48 Spottiswoode Park Road,Ready to move,4200,2,2,797 sqft,S$ 5.27 psf,Condominium,Partially Furnished,2014,1h
40 Telok Blangah Rise,40 Telok Blangah Rise,Ready to move,2300,3,2,883 sqft,S$ 2.60 psf,HDB Apartment,Fully Furnished,,1h
Marina Bay Suites,3 Central Boulevard,Ready to move,6300,3,2,1593 sqft,S$ 3.95 psf,Apartment,Fully Furnished,2014,1h
Rangoon 88,88 Rangoon Road,Ready to move,1850,1,1,420 sqft,S$ 4.40 psf,Condominium,Partially Furnished,2015,1h
City Gate,371 Beach Road,Ready to move,2000,,,300 sqft,S$ 6.67 psf,Apartment,Fully Furnished,2019,1h
City Gate,,Ready to move,2700,1,1,450 sqft,S$ 6.00 psf,Apartment,Partially Furnished,2019,1h
Belgravia Villas,,Ready to move,6500,5,4,3960 sqft,S$ 1.64 psf,Cluster House,Partially Furnished,2017,1h
119 Bukit Merah View,119 Bukit Merah View,Ready to move,1999,2,1,699 sqft,S$ 2.86 psf,HDB Apartment,Partially Furnished,,1h
253 Bangkit Road,253 Bangkit Road,Ready to move,1850,3,2,1313 sqft,S$ 1.41 psf,HDB Apartment,Fully Furnished,,1h
Oue Twin Peaks,33 Leonie Hill Road,,3200,1,1,549 sqft,S$ 5.83 psf,Condominium,Fully Furnished,2014,1h
Sant Ritz,1 Pheng Geck Avenue,Ready to move,2350,1,1,527 sqft,S$ 4.46 psf,Condominium,Partially Furnished,2016,1h
City Gate,371 Beach Road,Ready to move,3000,2,1,560 sqft,S$ 5.36 psf,Condominium,Partially Furnished,,1h
Highline Residences,1 Kim Tian Road,Ready to move,5300,3,2,915 sqft,S$ 5.79 psf,Condominium,Partially Furnished,2018,1h
Dunearn Road,Dunearn Road,Available from 1 May,12500,6,6,5000 sqft 3521 sqft (land),S$ 3.55 psf,Semi-Detached House,Partially Furnished,1990,1h
Cube 8,376 Thomson Road,Ready to move,6600,4,4,1905 sqft,S$ 3.46 psf,Condominium,Partially Furnished,2014,1h
316B Yishun Avenue 9,316B Yishun Avenue 9,Ready to move,700,,,300 sqft,S$ 2.33 psf,HDB Apartment,Fully Furnished,,1h
North Park Residences,15 Yishun Central 1,Ready to move,2750,2,2,772 sqft,S$ 3.56 psf,Condominium,,2020,1h
737898,Woodlands Drive 16,Ready to move,2200,2,2,872 sqft,S$ 2.52 psf,Condominium,,,1h
2 Everton Park,2 Everton Park,,800,,,376 sqft,S$ 2.13 psf,HDB Apartment,Fully Furnished,,1h
851 Hougang Central,851 Hougang Central,Available from 24 Apr,3000,4,2,1496 sqft,S$ 2.01 psf,HDB Apartment,Partially Furnished,,1h
Hillion Residences,12 Jelebu Road,Available from 2 Apr,4600,4,3,1356 sqft,S$ 3.39 psf,Apartment,Partially Furnished,2018,1h
Icon,10 Gopeng Street,Available from 20 Mar,4000,1,2,786 sqft,S$ 5.09 psf,Apartment,Fully Furnished,2007,1h
The Sail @ Marina Bay,6 Marina Boulevard,Ready to move,3500,1,1,614 sqft,S$ 5.70 psf,Apartment,Fully Furnished,2008,1h
134 Lorong Ah Soo,134 Lorong Ah Soo,Ready to move,800,,,200 sqft,S$ 4.00 psf,HDB Apartment,Fully Furnished,,1h
542 Bukit Batok Street 52,542 Bukit Batok Street 52,Ready to move,2400,4,3,1582 sqft,S$ 1.52 psf,HDB Apartment,Partially Furnished,,1h
542 Bukit Batok Street 52,542 Bukit Batok Street 52,Ready to move,2400,4,3,1582 sqft,S$ 1.52 psf,HDB Apartment,Partially Furnished,,2h
288D Jurong East Street 21,288D Jurong East Street 21,,650,,,1291 sqft,S$ 0.50 psf,HDB Apartment,Fully Furnished,,2h
264 Tampines Street 21,264 Tampines Street 21,Ready to move,800,,,130 sqft,S$ 6.15 psf,HDB Apartment,Fully Furnished,,2h
915 Tampines Street 91,915 Tampines Street 91,Ready to move,950,,,130 sqft,S$ 7.31 psf,HDB Apartment,Fully Furnished,,2h
Hillion Residences,Jelebu Road,Ready to move,7300,5,4,2616 sqft,S$ 2.79 psf,Apartment,Partially Furnished,2018,2h
728 Clementi West Street 2,728 Clementi West Street 2,Ready to move,750,,,100 sqft,S$ 7.50 psf,HDB Apartment,Fully Furnished,,2h
74A Redhill Road,74A Redhill Road,Ready to move,2950,3,2,990 sqft,S$ 2.98 psf,HDB Apartment,Unfurnished,,2h
16 Eunos Crescent,16 Eunos Crescent,,1850,2,,680 sqft,S$ 2.72 psf,HDB Apartment,,,2h
North Park Residences,15 Yishun Central 1,,2149,,,431 sqft,S$ 4.99 psf,Condominium,Fully Furnished,2020,2h
Marina One Residences,23 Marina Way,Ready to move,8000,3,3,1582 sqft,S$ 5.06 psf,Apartment,,2017,2h
104 Serangoon North Avenue 1,104 Serangoon North Avenue 1,Ready to move,600,,,150 sqft,S$ 4.00 psf,HDB Apartment,,,2h
Symphony Suites,21 Yishun Close,Ready to move,2000,2,2,689 sqft,S$ 2.90 psf,Condominium,Partially Furnished,,2h
The Scala @ Lorong Chuan,136 Serangoon Avenue 3,Available from 21 Mar,4500,3,3,1712 sqft,S$ 2.63 psf,Condominium,Partially Furnished,2013,2h
Mimosa Park,57 Mimosa Road,Ready to move,3300,4,4,2152 sqft,S$ 1.53 psf,Condominium,Partially Furnished,1979,2h
406 Fajar Road,406 Fajar Road,Ready to move,1600,3,2,1120 sqft,S$ 1.43 psf,HDB Apartment,Fully Furnished,,2h
The Stellar,12 West Coast Road,Available from 26 Apr,5200,3,3,1400 sqft,S$ 3.71 psf,Condominium,Fully Furnished,2008,2h
Space @ Kovan,11 Yio Chu Kang Road,Available from 7 May,2400,2,1,635 sqft,S$ 3.78 psf,Apartment,Fully Furnished,2014,2h
Blair Road,Blair Road,Ready to move,9000,4,4,3500 sqft 1700 sqft (land),S$ 5.29 psf,Conservation House,,,2h
545 Bukit Panjang Ring Road,545 Bukit Panjang Ring Road,Available from 1 Apr,500,,,120 sqft,S$ 4.17 psf,HDB Apartment,Fully Furnished,,2h
735 Yishun Street 72,735 Yishun Street 72,Ready to move,1650,2,2,780 sqft,S$ 2.12 psf,HDB Apartment,Fully Furnished,,2h
Harmony @ 1A,1A Lim Ah Pin Road,Available from 7 May,2350,1,1,699 sqft,S$ 3.36 psf,Apartment,Fully Furnished,2007,2h
Symphony Suites,,Ready to move,2550,3,2,797 sqft,S$ 3.20 psf,Condominium,Fully Furnished,,2h
Loft @ Stevens,68 Stevens Road,Ready to move,2250,1,1,377 sqft,S$ 5.97 psf,Condominium,Unfurnished,2015,2h
Camelot By-the-water,110 Tanjong Rhu Road,Ready to move,7300,3,4,2723 sqft,S$ 2.68 psf,Condominium,Partially Furnished,2001,2h
711 Woodlands Drive 70,711 Woodlands Drive 70,Ready to move,1900,3,2,1076 sqft,S$ 1.77 psf,HDB Apartment,Partially Furnished,,2h
Parbury Hill Condo,28 Parbury Avenue,Ready to move,3300,3,,1454 sqft,S$ 2.27 psf,Condominium,Fully Furnished,1998,2h
Namly Hill Brand New Good Glass Bungalow,Namly Hill,Available from 1 May,25800,6,7,9800 sqft 7700 sqft (land),S$ 3.35 psf,Bungalow House,Unfurnished,,2h
8 @ Woodleigh,6 Woodleigh Close,Ready to move,3100,2,2,840 sqft,S$ 3.69 psf,Condominium,Fully Furnished,2012,2h
The Beacon Edge,250 Tembeling Road,Ready to move,4900,3,2,1550 sqft,S$ 3.16 psf,Apartment,Fully Furnished,2010,2h
Four Seasons Park,8 Cuscaden Walk,,12000,4,5,2874 sqft,S$ 4.18 psf,Condominium,Partially Furnished,1994,2h
The Beacon Edge,250 Tembeling Road,Ready to move,4900,3,2,1550 sqft,S$ 3.16 psf,Apartment,Fully Furnished,2010,2h
Four Seasons Park,8 Cuscaden Walk,,12000,4,5,2874 sqft,S$ 4.18 psf,Condominium,Partially Furnished,1994,2h
Espana,12 Dyson Road,Available from 7 Apr,7500,3,3,2712 sqft,S$ 2.77 psf,Apartment,Partially Furnished,1970,2h
12 Jalan Bukit Merah,12 Jalan Bukit Merah,Ready to move,2700,4,2,1324 sqft,S$ 2.04 psf,HDB Apartment,Partially Furnished,,2h
Clementi Park,137 Sunset Way,Available from 1 May,1900,1,1,807 sqft,S$ 2.35 psf,Condominium,Fully Furnished,1985,2h
421 Serangoon Central,421 Serangoon Central,Available from 30 Apr,2550,3,2,1162 sqft,S$ 2.19 psf,HDB Apartment,Fully Furnished,,2h
Grange 80,80 Grange Road,Available from 1 May,7400,4,3,2314 sqft,S$ 3.20 psf,Condominium,Partially Furnished,2000,2h
303 Jurong East Street 32,303 Jurong East Street 32,Available from 1 Apr,900,,,300 sqft,S$ 3.00 psf,HDB Apartment,,,2h
253 Yishun Ring Road,253 Yishun Ring Road,Ready to move,750,,,100 sqft,S$ 7.50 psf,HDB Apartment,,,2h
Seasons Park,491 Yio Chu Kang Road,,3000,3,3,1647 sqft,S$ 1.82 psf,Condominium,Fully Furnished,1997,2h
Symphony Suites,Yishun Close,Ready to move,2300,2,2,689 sqft,S$ 3.34 psf,Condominium,Fully Furnished,2018,2h
180 Bukit Batok West Avenue 8,180 Bukit Batok West Avenue 8,Ready to move,1300,1,2,720 sqft,S$ 1.81 psf,HDB Apartment,Fully Furnished,,2h
52 Sims Place,52 Sims Place,Ready to move,2000,2,1,721 sqft,S$ 2.77 psf,HDB Apartment,Partially Furnished,,2h
Parvis,18 Holland Hill,Available from 1 May,8000,3,3,1701 sqft,S$ 4.70 psf,Condominium,Partially Furnished,2012,2h
187A Rivervale Drive,187A Rivervale Drive,Ready to move,600,,,120 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,2h
Kingsford Waterbay,Upper Serangoon View,Ready to move,2400,2,1,657 sqft,S$ 3.65 psf,Apartment,Fully Furnished,2017,2h
484 Jurong West Avenue 1,484 Jurong West Avenue 1,Ready to move,2300,3,2,1001 sqft,S$ 2.30 psf,HDB Apartment,Fully Furnished,,2h
Citylights,80 Jellicoe Road,Ready to move,4100,2,2,915 sqft,S$ 4.48 psf,Condominium,Partially Furnished,2007,2h
631 Pasir Ris Drive 3,631 Pasir Ris Drive 3,,2100,3,2,1119 sqft,S$ 1.88 psf,HDB Apartment,Partially Furnished,,2h
Sims Urban Oasis,2 Sims Drive,Ready to move,2700,2,1,624 sqft,S$ 4.33 psf,Condominium,Fully Furnished,2020,2h
Citylights,90 Jellicoe Road,Available from 15 Mar,2850,1,1,560 sqft,S$ 5.09 psf,Condominium,Fully Furnished,2007,2h
Sant Ritz,1 Pheng Geck Avenue,Available from 30 Mar,2300,1,1,527 sqft,S$ 4.36 psf,Condominium,Partially Furnished,2016,2h
The Bencoolen,180 Bencoolen Street,Ready to move,3500,2,2,936 sqft,S$ 3.74 psf,Apartment,Fully Furnished,1998,2h
54 Marine Terrace,54 Marine Terrace,Available from 12 Apr,2500,3,2,947 sqft,S$ 2.64 psf,HDB Apartment,Fully Furnished,,2h
Trevista,21 Lorong 3 Toa Payoh,Ready to move,3000,2,2,861 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2012,2h
